Scenario,Target_Throughput(req/s),Target_SLO(ms),DS2_p,DS2_b,DS2_cost,DS2_throughput,DS2_latency(ms),ContTune_p,ContTune_b,ContTune_cost,ContTune_throughput,ContTune_latency(ms),InferTuner_p,InferTuner_b,InferTuner_cost,InferTuner_throughput,InferTuner_latency(ms),Best_Algorithm,InferTuner_vs_DS2_Savings,InferTuner_vs_ContTune_Savings
Ultra Low,0.17,12000,2.0,1.0,2.0,0.21234999999999998,9482.730574796507,1,1,1,0.2561428571428571,11226.92857142857,1,1,1,0.2913062715841076,7811.395587775067,ContTune,1.0,0
Low,0.5,14000,5.0,1.0,5.0,0.4926,9579.28288958186,3,1,3,0.7587615384615384,13079.929492307692,2,2,2,0.48681035998492245,10895.55522824844,InferTuner,3.0,1
Medium Low,0.8,16000,11.0,1.0,11.0,0.823,9303.851325434283,4,1,4,1.01118,14482.63752,3,4,3,0.8108751656530732,13931.560894240565,InferTuner,8.0,1
Medium 1,1.0,18000,12.0,1.0,12.0,0.9515500000000001,9393.26470679012,4,1,4,1.01118,14482.63752,3,8,3,1.2017967404221894,15332.357607635515,InferTuner,9.0,1
Medium 2,1.2,20000,15.0,1.0,15.0,1.252025,9346.938742693463,9,1,9,1.28125,12949.63195,3,8,3,1.2017967404221894,15332.357607635515,InferTuner,12.0,6
Medium High,1.4,22000,16.0,1.0,16.0,1.3823999999999999,8593.365792582092,15,1,15,1.4673500000000002,17897.65584,5,8,5,1.379504111141336,19134.590972054,InferTuner,11.0,10
High,1.5,25000,17.0,1.0,17.0,1.4335999999999998,8664.780358659273,19,1,19,1.6676000000000002,26176.86054,7,8,7,1.4928661717024294,21751.961083057617,InferTuner,10.0,12
Very High,1.6,30000,19.0,1.0,19.0,1.5307,8464.08962192284,19,1,19,1.6676000000000002,26176.86054,10,8,10,1.5683448706468355,26061.44913007556,InferTuner,9.0,9
Near Saturation,1.69,38000,,,,,,19,1,19,1.6676000000000002,26176.86054,13,8,13,1.624546941670588,31286.125199981263,InferTuner,,6
Peak Saturation,1.78,48000,,,,,,19,1,19,1.6676000000000002,26176.86054,16,8,16,1.6991892019397565,34911.6937435888,InferTuner,,3
