parallelism,throughput_rps,avg_latency_ms
1,0.13330999999999998,15510.03126
2,0.23576000000000003,15256.009390000001
3,0.33825,21184.6276
4,0.4309,15320.326191666667
5,0.5284,14503.25
6,0.6124,15422.09375
7,0.732925,15863.56475
8,0.802611111111111,16069.4705
9,0.9144,15463.3264
10,1.0008714285714286,16588.167414285715
11,1.0702,17647.38635
12,1.1938857142857144,16792.850071428573
13,1.13448,24302.91588
14,1.3155999999999999,17146.716814285715
15,1.5995,19264.9375
16,1.5178875,17676.9284875
17,1.6266548767451565,18025.24469960681
18,1.6772571428571428,17064.61805714286
19,1.8276,17683.1579
20,1.8823833333333333,17117.1073
