response_id,request_id,batch_size,wait_time_ms,process_time_ms,total_latency_ms,success,timestamp
1,req_000,1,0,1087,1087,true,1754902343331
2,req_001,1,0,891,891,true,1754902344427
3,req_002,1,0,1500,1500,true,1754902346130
4,req_003,1,0,1376,1376,true,1754902347710
5,req_004,1,0,1005,1005,true,1754902348918
6,req_005,1,0,574,574,true,1754902349700
7,req_006,1,0,1231,1231,true,1754902351135
8,req_007,1,0,991,991,true,1754902352329
9,req_008,1,0,1449,1449,true,1754902353982
10,req_009,1,0,715,715,true,1754902354901
11,req_010,1,0,871,871,true,1754902355976
12,req_011,1,0,1219,1219,true,1754902357399
13,req_012,1,0,824,824,true,1754902358426
14,req_013,1,0,1144,1144,true,1754902359774
15,req_014,1,0,1262,1262,true,1754902361240
16,req_015,1,0,982,982,true,1754902362428
17,req_016,1,0,1569,1569,true,1754902364199
18,req_017,1,0,934,934,true,1754902365337
19,req_018,1,0,628,628,true,1754902366168
20,req_019,1,0,1401,1401,true,1754902367772
21,req_020,1,0,549,549,true,1754902368525
22,req_021,1,0,1113,1113,true,1754902369842
23,req_022,1,0,1398,1398,true,1754902371442
24,req_023,1,0,1365,1365,true,1754902373011
25,req_024,1,0,1298,1298,true,1754902374512
